City,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Ho Chi Minh City,48.0,,8.0,3.0,,,Have certificate,,8.9
Ho Chi Minh City,90.0,5.0,4.0,3.0,4.0,,Have certificate,,9.2
Hanoi,47.0,5.0,,4.0,4.0,4.0,Have certificate,,9.5
Others,112.5,5.0,7.5,3.0,4.0,4.0,Have certificate,Full,6.5
Others,120.0,6.0,,2.0,,,,,2.37
Others,141.6,,22.0,4.0,5.0,6.0,Have certificate,Basic,7.5
Others,100.0,5.0,7.5,3.0,3.0,4.0,Have certificate,Full,6.2
Hanoi,35.0,,,5.0,,,Have certificate,Basic,6.5
Hanoi,35.0,3.3,2.5,4.0,4.0,3.0,Have certificate,Full,4.79
Others,120.0,,,2.0,4.0,3.0,,,2.6
Others,103.8,4.9,,,,,,,5.0
Others,205.0,10.0,,,,,Have certificate,,1.2
Hanoi,33.0,5.0,4.0,5.0,3.0,3.0,Have certificate,Full,5.18
Others,100.0,5.0,,2.0,4.0,3.0,,,2.2
Ho Chi Minh City,24.5,3.0,,,,,Have certificate,,4.25
Hanoi,39.0,4.0,3.0,5.0,6.0,7.0,Have certificate,Full,6.1
Others,74.5,,5.0,2.0,2.0,2.0,Have certificate,,2.9
Hanoi,77.5,,3.0,,,,Have certificate,Basic,4.65
Others,100.0,5.0,7.5,3.0,3.0,3.0,Have certificate,,5.0
Ho Chi Minh City,36.0,,5.0,3.0,4.0,5.0,Have certificate,,7.95
Ho Chi Minh City,52.4,,,,2.0,1.0,Have certificate,,3.7
Ho Chi Minh City,57.0,4.6,4.0,2.0,2.0,2.0,Have certificate,Full,4.7
Ho Chi Minh City,66.0,4.0,12.0,4.0,4.0,,Have certificate,,7.3
Others,100.0,5.0,5.5,3.0,3.0,2.0,Have certificate,Full,6.0
Hanoi,32.0,,,,,,,,5.0
Others,115.0,,6.0,4.0,,,,Full,7.8
Others,110.0,5.0,15.0,3.0,4.0,5.0,Have certificate,,5.73
Hanoi,32.0,3.5,3.5,5.0,4.0,5.0,Have certificate,,4.3
Ho Chi Minh City,35.0,4.0,6.0,2.0,2.0,,Have certificate,Basic,4.0
Hanoi,39.0,,,5.0,4.0,,Have certificate,,5.8
Ho Chi Minh City,60.0,4.2,,3.0,4.0,4.0,Have certificate,,6.9
Ho Chi Minh City,54.6,,3.0,4.0,4.0,4.0,Have certificate,,6.8
Hanoi,40.0,5.0,3.0,6.0,7.0,5.0,Have certificate,Full,7.8
Hanoi,55.0,,2.8,6.0,8.0,9.0,Have certificate,Full,8.8
Hanoi,40.0,3.5,,5.0,3.0,4.0,Have certificate,Full,8.0
Ho Chi Minh City,39.0,4.5,3.0,4.0,5.0,5.0,Have certificate,Full,6.9
Others,83.9,5.0,,4.0,4.0,4.0,,,4.4
Others,51.0,,,3.0,3.0,3.0,Have certificate,Full,4.1
Ho Chi Minh City,282.7,11.0,50.0,1.0,4.0,2.0,Have certificate,Basic,9.5
Hanoi,40.0,4.0,3.0,5.0,5.0,4.0,Have certificate,Full,6.0
Ho Chi Minh City,65.0,7.0,4.0,2.0,2.0,2.0,,,9.9
Others,100.0,5.0,4.0,1.0,3.0,2.0,Have certificate,Basic,3.7
Others,90.0,4.5,3.5,2.0,2.0,,,,3.3
Ho Chi Minh City,20.0,,2.0,3.0,2.0,3.0,Have certificate,Basic,3.15
Others,95.0,5.0,30.0,4.0,4.0,3.0,,,5.0
Hanoi,68.0,,,1.0,1.0,1.0,,,7.0
Hanoi,42.0,3.3,2.5,4.0,4.0,4.0,Have certificate,Full,4.55
Others,100.0,6.0,10.0,1.0,2.0,1.0,Have certificate,Full,1.49
Others,45.0,7.0,14.5,1.0,1.0,1.0,Have certificate,,2.0
Ho Chi Minh City,45.0,4.0,,3.0,4.0,3.0,,,6.65
Others,50.0,,,,,,,,4.15
Others,129.4,5.0,10.0,,3.0,1.0,Have certificate,,2.25
Ho Chi Minh City,62.0,5.0,6.0,2.0,3.0,2.0,Have certificate,Basic,4.2
Ho Chi Minh City,30.0,,20.0,3.0,4.0,3.0,Have certificate,Basic,7.9
Ho Chi Minh City,81.0,6.0,10.0,3.0,4.0,5.0,Have certificate,Full,9.9
Ho Chi Minh City,84.0,5.0,8.0,4.0,4.0,6.0,Have certificate,Full,9.5
Others,66.0,5.4,3.0,1.0,2.0,2.0,Have certificate,Full,3.75
Ho Chi Minh City,43.0,6.0,6.0,3.0,3.0,3.0,Have certificate,Full,6.25
Ho Chi Minh City,44.0,4.0,5.0,4.0,4.0,4.0,Have certificate,Basic,5.8
Ho Chi Minh City,84.0,4.0,6.0,2.0,3.0,2.0,Have certificate,Basic,4.9
Others,64.0,4.0,13.0,3.0,3.0,4.0,Have certificate,Basic,3.5
Others,65.0,5.0,13.0,5.0,5.0,4.0,Sale contract,,7.0
Hanoi,44.0,4.7,,5.0,,,Have certificate,Basic,5.5
Ho Chi Minh City,115.0,,6.0,2.0,3.0,3.0,Have certificate,Basic,7.0
Ho Chi Minh City,48.0,4.0,4.0,3.0,4.0,3.0,Have certificate,Basic,4.85
Ho Chi Minh City,40.0,4.0,4.0,2.0,2.0,2.0,Have certificate,Basic,3.68
Ho Chi Minh City,74.0,,7.0,4.0,4.0,4.0,Have certificate,Full,6.5
Ho Chi Minh City,72.0,4.4,,3.0,4.0,3.0,Have certificate,,6.0
Ho Chi Minh City,70.0,,7.0,3.0,4.0,3.0,,,7.9
Ho Chi Minh City,56.0,4.0,,3.0,4.0,3.0,Have certificate,,5.9
Ho Chi Minh City,54.4,,6.0,3.0,3.0,4.0,Have certificate,,4.7
Ho Chi Minh City,50.0,,,3.0,3.0,3.0,Have certificate,Full,5.3
Ho Chi Minh City,70.0,9.0,9.0,,4.0,5.0,Have certificate,Full,9.4
Others,80.0,5.0,7.5,4.0,5.0,6.0,Have certificate,,7.6
Others,200.0,10.0,,3.0,5.0,6.0,Have certificate,Full,10.0
Ho Chi Minh City,52.3,,6.0,3.0,3.0,3.0,Have certificate,,4.5
Ho Chi Minh City,80.0,4.0,3.0,2.0,2.0,2.0,Have certificate,,4.68
Hanoi,50.0,,,6.0,4.0,4.0,Have certificate,Full,5.2
Ho Chi Minh City,72.0,4.0,8.0,1.0,3.0,2.0,Have certificate,Basic,6.5
Ho Chi Minh City,23.0,,,2.0,2.0,2.0,Have certificate,Full,2.98
Ho Chi Minh City,35.0,4.0,6.0,5.0,3.0,4.0,Have certificate,Full,5.7
Ho Chi Minh City,61.4,6.2,3.0,3.0,8.0,8.0,Have certificate,,9.6
Ho Chi Minh City,30.0,4.0,8.0,1.0,2.0,2.0,,Basic,2.35
Ho Chi Minh City,36.0,,,2.0,2.0,2.0,Have certificate,,2.7
Hanoi,35.0,4.0,4.0,3.0,4.0,3.0,Have certificate,Full,4.5
Hanoi,40.0,4.0,4.5,6.0,4.0,4.0,Have certificate,Full,8.7
Others,320.0,10.0,32.0,1.0,4.0,4.0,Have certificate,Full,5.8
Others,77.0,4.0,16.0,4.0,4.0,4.0,Have certificate,Full,7.75
Ho Chi Minh City,53.0,,,2.0,,,,,6.5
Others,100.0,5.0,15.0,3.0,4.0,4.0,Have certificate,Full,5.2
Ho Chi Minh City,190.0,5.0,5.0,1.0,5.0,5.0,Have certificate,,9.5
Others,92.0,5.0,16.0,2.0,3.0,3.0,Have certificate,Full,5.6
Ho Chi Minh City,157.0,6.0,20.0,2.0,2.0,1.0,Have certificate,Basic,4.2
Hanoi,31.0,,,6.0,4.0,5.0,Have certificate,,5.88
Hanoi,42.0,,,4.0,4.0,3.0,Have certificate,Full,8.1
Ho Chi Minh City,62.0,6.0,6.0,2.0,2.0,2.0,Have certificate,Basic,5.15
Ho Chi Minh City,60.0,6.0,6.0,2.0,2.0,2.0,Have certificate,Basic,5.1
Hanoi,43.0,,,4.0,4.0,3.0,Have certificate,Full,8.65
Ho Chi Minh City,40.0,,4.0,2.0,2.0,2.0,,,1.85
Ho Chi Minh City,56.0,,,4.0,5.0,4.0,Have certificate,Basic,8.8
Others,75.0,5.0,7.0,5.0,5.0,5.0,Have certificate,,8.8
Others,75.0,5.0,20.0,4.0,5.0,6.0,Have certificate,Full,9.3
Others,96.0,55.0,20.0,4.0,5.0,6.0,Have certificate,Full,8.3
Ho Chi Minh City,52.0,,,3.0,5.0,6.0,Have certificate,Full,5.0
Others,55.0,5.5,7.0,3.0,3.0,3.0,Have certificate,Basic,5.8
Hanoi,35.0,4.0,3.0,5.0,3.0,,Have certificate,Full,5.7
Ho Chi Minh City,16.0,3.0,2.5,2.0,1.0,2.0,Have certificate,Full,2.94
Ho Chi Minh City,114.0,,4.0,,5.0,5.0,Have certificate,,5.7
Ho Chi Minh City,80.3,7.3,7.0,4.0,4.0,5.0,Have certificate,Full,6.5
Ho Chi Minh City,62.5,5.0,6.0,3.0,4.0,3.0,Have certificate,Full,5.28
Hanoi,32.0,3.6,2.5,4.0,2.0,3.0,Have certificate,Full,2.85
Hanoi,52.0,,,5.0,4.0,,Have certificate,,7.95
Hanoi,35.5,,,1.0,2.0,1.0,Have certificate,Full,3.32
Ho Chi Minh City,56.7,,,3.0,3.0,3.0,Have certificate,Basic,5.8
Hanoi,37.0,3.7,3.0,,,,Have certificate,,5.9
Ho Chi Minh City,24.0,4.0,3.0,2.0,2.0,1.0,Have certificate,Full,1.18
Others,90.0,5.0,5.0,2.0,3.0,2.0,Have certificate,Basic,4.3
Hanoi,30.0,,,5.0,3.0,4.0,Have certificate,Full,4.75
Others,141.6,5.5,22.0,4.0,5.0,6.0,Have certificate,Full,7.5
Ho Chi Minh City,105.0,8.0,7.0,1.0,2.0,2.0,Have certificate,,5.45
Others,80.0,,,7.0,,,Sale contract,,5.2
Others,162.0,5.06,,,2.0,2.0,Have certificate,Basic,7.5
Hanoi,38.0,3.5,,6.0,3.0,5.0,Have certificate,,8.35
Hanoi,23.0,3.0,10.0,1.0,1.0,1.0,,,4.0
Hanoi,30.0,3.8,,5.0,3.0,4.0,Have certificate,Basic,5.6
Hanoi,42.0,,3.0,6.0,3.0,,Have certificate,Basic,6.4
Hanoi,41.0,3.3,10.0,4.0,5.0,4.0,Have certificate,Full,8.95
Hanoi,35.0,,,5.0,3.0,4.0,Have certificate,Full,4.95
Hanoi,50.0,6.1,,6.0,4.0,4.0,Have certificate,Full,9.8
Ho Chi Minh City,51.0,4.1,,2.0,2.0,3.0,Have certificate,,4.99
Ho Chi Minh City,92.0,4.0,6.0,3.0,3.0,3.0,Have certificate,Basic,8.5
Ho Chi Minh City,75.0,,6.0,4.0,5.0,4.0,Have certificate,Full,8.4
Others,64.0,5.0,13.0,5.0,,,Have certificate,,7.4
Hanoi,63.0,2.2,2.2,5.0,5.0,5.0,Have certificate,,7.2
Others,52.0,4.0,13.0,5.0,,,Have certificate,,6.6
Ho Chi Minh City,42.0,,,3.0,3.0,,Have certificate,Full,6.79
Hanoi,40.0,5.5,,5.0,3.0,4.0,Have certificate,Full,7.9
Hanoi,40.0,4.5,,6.0,4.0,5.0,Have certificate,Basic,8.5
Others,63.0,4.5,13.0,5.0,,,Have certificate,,7.14
Hanoi,53.5,3.0,10.0,,,,,,8.9
Others,92.0,,16.0,2.0,1.0,2.0,Have certificate,Full,5.6
Others,87.5,7.0,13.0,5.0,,,Have certificate,,9.54
Hanoi,48.0,,,5.0,3.0,,Have certificate,Full,5.5
Others,48.0,4.0,4.0,2.0,2.0,2.0,,,1.0
Ho Chi Minh City,50.0,4.3,2.0,2.0,2.0,2.0,Have certificate,,4.1
Ho Chi Minh City,50.1,4.3,2.0,2.0,2.0,2.0,Have certificate,,4.1
Ho Chi Minh City,50.2,4.3,2.0,2.0,2.0,2.0,Have certificate,,4.1
Ho Chi Minh City,50.3,4.3,2.0,2.0,2.0,2.0,Have certificate,,4.1
Ho Chi Minh City,70.0,5.0,,2.0,,,Have certificate,Full,9.6
Hanoi,35.0,,,,,,Have certificate,Full,7.4
Others,55.0,3.83,7.5,3.0,,,Have certificate,,6.8
Others,102.0,,,3.0,3.0,3.0,Have certificate,,6.2
Others,280.5,10.0,11.0,1.0,2.0,2.0,,Full,5.0
Hanoi,50.0,4.2,,5.0,4.0,,Have certificate,,7.86
Others,80.0,5.0,15.0,3.0,4.0,3.0,Have certificate,Basic,2.0
Ho Chi Minh City,100.0,,20.0,3.0,4.0,5.0,Have certificate,Basic,7.0
Hanoi,22.0,4.0,,4.0,3.0,,Have certificate,,4.8
Hanoi,31.0,,,,4.0,,Have certificate,Basic,3.78
Hanoi,40.0,,,5.0,,,Have certificate,,5.1
Ho Chi Minh City,56.0,4.0,6.0,2.0,2.0,3.0,Have certificate,,5.6
Hanoi,33.0,3.8,2.7,4.0,2.0,4.0,,,3.85
Hanoi,33.0,3.4,,5.0,3.0,4.0,,,3.4
Hanoi,33.0,3.8,,5.0,4.0,4.0,Have certificate,,3.65
Hanoi,33.0,3.5,3.0,4.0,4.0,3.0,,,6.15
Hanoi,35.0,,,6.0,4.0,5.0,Have certificate,,5.85
Ho Chi Minh City,68.0,4.0,6.0,4.0,4.0,4.0,Have certificate,Full,7.75
Hanoi,40.0,,,5.0,,,Have certificate,Full,5.4
Ho Chi Minh City,53.8,4.5,8.0,4.0,3.0,3.0,Have certificate,Full,4.8
Others,48.0,,,5.0,4.0,3.0,,,5.3
Others,100.0,5.0,15.0,,,,Have certificate,,5.7
Others,123.0,,,5.0,,,Have certificate,,5.45
Ho Chi Minh City,115.0,,,,,1.0,,,5.5
Hanoi,35.0,,,5.0,5.0,,Have certificate,Full,5.18
Ho Chi Minh City,30.3,,3.0,4.0,3.0,3.0,Have certificate,,4.68
Hanoi,188.0,4.0,6.0,4.0,4.0,4.0,Sale contract,,5.85
Ho Chi Minh City,30.0,,4.0,3.0,3.0,3.0,,Full,1.88
Others,61.5,,3.5,4.0,5.0,3.0,Have certificate,,4.1
Ho Chi Minh City,136.6,8.0,,,,,Have certificate,,8.0
Hanoi,44.0,,,,9.0,,Have certificate,Full,7.0
Ho Chi Minh City,75.0,,,,,,Have certificate,,5.7
Hanoi,50.0,4.0,,5.0,6.0,5.0,Have certificate,,8.5
Others,120.0,6.0,15.0,,,,,,7.1
Ho Chi Minh City,42.0,,4.0,4.0,4.0,3.0,Have certificate,Full,4.0
Ho Chi Minh City,75.0,5.0,12.0,3.0,3.0,4.0,Have certificate,Full,8.3
Hanoi,30.0,,,4.0,4.0,,Have certificate,,3.8
Ho Chi Minh City,28.0,,7.0,3.0,2.0,3.0,Have certificate,Full,2.15
Ho Chi Minh City,28.0,4.0,7.0,3.0,2.0,2.0,Have certificate,Full,2.15
Others,68.0,,,2.0,3.0,3.0,Have certificate,,1.6
Others,72.0,4.0,5.0,2.0,3.0,2.0,Have certificate,Basic,3.0
Hanoi,37.0,3.0,2.0,4.0,3.0,3.0,Have certificate,Full,5.18
Ho Chi Minh City,120.0,7.0,5.0,2.0,3.0,2.0,Have certificate,Basic,7.5
Others,85.0,,,3.0,4.0,3.0,Have certificate,,2.7
Hanoi,37.0,,,6.0,,,,Full,6.2
Others,98.0,7.0,,5.0,,,,,2.6
Others,120.0,6.0,15.0,,,,Have certificate,,7.1
Others,92.0,5.0,13.0,3.0,3.0,3.0,Have certificate,,4.2
Hanoi,32.0,,,5.0,3.0,3.0,Have certificate,Basic,2.55
Hanoi,51.0,,,,,,,,4.2
Others,80.0,10.0,10.0,2.0,3.0,2.0,Have certificate,Basic,2.88
Ho Chi Minh City,29.0,,,1.0,,,,,6.2
Ho Chi Minh City,100.0,5.0,20.0,3.0,5.0,6.0,Have certificate,,6.6
Others,100.0,5.0,35.0,4.0,,,,,7.4
Hanoi,35.0,5.2,,5.0,,,,,7.5
Others,90.0,4.85,8.0,2.0,4.0,2.0,Have certificate,,4.25
Ho Chi Minh City,85.0,,8.0,4.0,4.0,5.0,Have certificate,,8.5
Others,100.0,5.0,15.3,3.0,4.0,5.0,Have certificate,Basic,5.7
Hanoi,37.0,3.5,3.0,4.0,4.0,3.0,Have certificate,,7.4
Ho Chi Minh City,72.0,4.2,,2.0,,,,,6.7
Ho Chi Minh City,113.0,,,2.0,2.0,,,,5.0
Others,200.0,5.0,17.0,3.0,4.0,3.0,Have certificate,,3.6
Ho Chi Minh City,80.0,,10.0,1.0,4.0,4.0,Have certificate,Basic,6.0
Others,92.0,4.4,,2.0,1.0,2.0,Have certificate,Full,5.6
Hanoi,39.0,4.3,2.0,5.0,4.0,4.0,Have certificate,Full,6.6
Others,80.0,5.0,13.0,5.0,,,Sale contract,,8.9
Ho Chi Minh City,63.9,,,,4.0,2.0,,,3.8
Ho Chi Minh City,110.0,,,3.0,4.0,5.0,Have certificate,,9.6
Others,47.8,,,,,,Have certificate,Basic,2.2
Ho Chi Minh City,50.0,4.0,6.0,1.0,,,,,5.35
Hanoi,40.0,4.0,35.0,4.0,4.0,3.0,Have certificate,Full,6.3
Ho Chi Minh City,66.0,,,1.0,,,,,6.7
Ho Chi Minh City,157.5,4.2,,1.0,2.0,1.0,Have certificate,,9.5
Others,182.0,7.0,40.0,1.0,3.0,1.0,Have certificate,,2.1
Others,62.5,7.0,10.0,,1.0,1.0,Have certificate,Basic,2.7
Ho Chi Minh City,70.0,5.0,6.0,3.0,3.0,3.0,Have certificate,Full,6.0
Ho Chi Minh City,70.0,4.3,,,,,Have certificate,Full,9.7
Others,275.0,10.0,4.0,1.0,3.0,2.0,Have certificate,Full,2.2
Ho Chi Minh City,52.0,3.8,5.0,2.0,2.0,2.0,Have certificate,,9.0
Ho Chi Minh City,40.0,,5.0,1.0,2.0,2.0,Have certificate,Full,2.3
Hanoi,40.0,4.0,5.0,4.0,4.0,4.0,Have certificate,Full,6.0
Others,168.0,7.0,16.0,2.0,4.0,3.0,Sale contract,,5.11
Others,96.7,5.0,13.0,3.0,4.0,4.0,Have certificate,Full,5.2
Ho Chi Minh City,61.2,,5.0,3.0,5.0,3.0,Have certificate,Full,5.8
Others,107.0,,,1.0,,,Have certificate,,4.0
Others,84.0,9.0,,1.0,1.0,1.0,Have certificate,,3.05
Hanoi,43.0,,,4.0,,,,,6.5
Ho Chi Minh City,61.0,4.0,,2.0,2.0,3.0,,,5.9
Ho Chi Minh City,61.7,4.35,4.5,2.0,,,Have certificate,Basic,6.0
Ho Chi Minh City,38.0,7.0,3.0,3.0,2.0,2.0,Have certificate,,3.5
Hanoi,65.0,,,,,,Have certificate,Full,9.5
Ho Chi Minh City,25.6,3.2,3.0,3.0,3.0,3.0,Have certificate,,3.4
Ho Chi Minh City,85.0,5.0,4.0,2.0,6.0,5.0,Have certificate,,6.8
Others,75.0,5.0,5.0,2.0,2.0,2.0,Have certificate,Basic,3.65
Hanoi,37.0,,,3.0,3.0,3.0,Have certificate,,4.5
Hanoi,42.0,,,5.0,3.0,4.0,Have certificate,,4.8
Ho Chi Minh City,85.7,5.4,7.0,1.0,3.0,3.0,Have certificate,Full,8.5
Hanoi,42.0,,25.0,,,,,,6.95
Ho Chi Minh City,45.0,,5.0,5.0,4.0,4.0,Have certificate,Full,6.8
Hanoi,40.0,,,3.0,2.0,2.0,Have certificate,,7.3
Hanoi,42.0,4.4,,5.0,4.0,4.0,,,4.96
Ho Chi Minh City,70.0,,5.0,,3.0,,,,1.87
Hanoi,55.0,4.4,,6.0,4.0,4.0,,,6.1
Hanoi,40.0,3.5,,5.0,4.0,4.0,,,6.5
Hanoi,50.0,3.7,,4.0,3.0,3.0,Have certificate,Full,5.5
Ho Chi Minh City,104.0,5.0,6.0,3.0,5.0,5.0,Have certificate,Full,9.6
Hanoi,40.0,3.97,2.2,1.0,1.0,1.0,Have certificate,Basic,3.0
Hanoi,32.0,3.4,3.0,5.0,3.0,4.0,Have certificate,Basic,4.5
Hanoi,45.0,8.7,,4.0,4.0,3.0,Have certificate,,4.95
Others,96.7,5.0,13.0,3.0,4.0,4.0,Have certificate,Full,5.2
Hanoi,51.0,,3.0,4.0,3.0,3.0,Have certificate,Full,5.7
Ho Chi Minh City,58.2,6.0,6.0,5.0,3.0,4.0,Have certificate,Full,8.6
Others,100.0,5.0,13.0,3.0,4.0,4.0,,,3.07
Ho Chi Minh City,40.0,,,,6.0,3.0,Have certificate,Full,6.5
Hanoi,55.0,4.4,,6.0,4.0,3.0,Have certificate,Full,6.0
Ho Chi Minh City,30.0,3.0,8.0,2.0,4.0,3.0,Have certificate,Basic,2.5
Others,217.0,15.0,12.0,3.0,4.0,3.0,,,5.0
Others,60.0,4.0,3.5,,,,Have certificate,,3.6
Ho Chi Minh City,48.0,,,3.0,3.0,3.0,Have certificate,Basic,9.5
Hanoi,50.0,3.5,,5.0,,,Have certificate,,5.7
Ho Chi Minh City,62.0,,,4.0,5.0,4.0,Have certificate,Full,7.6
Ho Chi Minh City,52.0,,,2.0,2.0,,Have certificate,,3.9
Others,96.7,5.0,13.0,3.0,5.0,4.0,Have certificate,Full,5.2
Ho Chi Minh City,88.0,4.1,7.0,4.0,4.0,3.0,Have certificate,,8.4
Hanoi,39.0,,,4.0,3.0,,Have certificate,,5.5
Ho Chi Minh City,35.0,4.0,4.0,1.0,2.0,2.0,Have certificate,Full,2.0
Others,251.9,7.0,5.0,2.0,4.0,2.0,Have certificate,,5.9
Ho Chi Minh City,51.0,4.3,8.0,3.0,3.0,3.0,Have certificate,Full,4.5
Hanoi,52.0,42.0,,5.0,5.0,4.0,Have certificate,,9.39
Hanoi,30.0,,,5.0,3.0,3.0,Have certificate,Full,4.2
Hanoi,40.0,3.8,3.0,5.0,6.0,4.0,Have certificate,Full,3.4
Ho Chi Minh City,48.0,,,3.0,4.0,,Have certificate,,4.8
Hanoi,50.0,4.5,,5.0,6.0,6.0,Have certificate,,6.5
Ho Chi Minh City,38.0,,,,4.0,,Have certificate,,3.5
Ho Chi Minh City,88.0,,12.0,3.0,,,,,9.0
Hanoi,38.0,4.0,3.0,5.0,3.0,4.0,Have certificate,Full,4.9
Others,75.0,5.0,,2.0,2.0,2.0,Have certificate,,3.6
Hanoi,50.0,3.9,3.0,4.0,4.0,4.0,Have certificate,Full,8.8
Others,67.0,5.0,,,2.0,2.0,Have certificate,,2.45
Ho Chi Minh City,40.0,4.0,3.0,2.0,2.0,2.0,Have certificate,Full,3.1
Ho Chi Minh City,113.0,,,,,,,,9.34
Hanoi,45.0,,,5.0,,,,,8.2
Ho Chi Minh City,50.8,4.0,6.0,2.0,2.0,2.0,Have certificate,Full,4.35
Hanoi,35.0,,,5.0,3.0,4.0,Have certificate,,4.95
Ho Chi Minh City,48.7,5.7,,5.0,4.0,3.0,Have certificate,Full,9.3
Hanoi,43.0,4.0,,4.0,4.0,4.0,Have certificate,,9.5
Ho Chi Minh City,60.0,,,3.0,,,,,9.0
Ho Chi Minh City,45.0,4.5,5.0,4.0,4.0,3.0,,,6.2
Ho Chi Minh City,71.0,4.3,5.0,4.0,4.0,5.0,Have certificate,,8.4
Ho Chi Minh City,115.0,5.0,6.0,,,,Have certificate,,9.5
Ho Chi Minh City,54.0,5.0,6.0,1.0,2.0,2.0,Have certificate,Full,4.75
Ho Chi Minh City,35.0,3.5,5.0,5.0,5.0,6.0,Have certificate,Full,9.5
Ho Chi Minh City,63.0,,,4.0,4.0,5.0,Have certificate,Full,8.5
Others,119.0,,,2.0,4.0,2.0,Have certificate,Full,3.5
Ho Chi Minh City,67.5,,,2.0,4.0,3.0,Have certificate,,4.85
Hanoi,58.0,33.0,,5.0,3.0,,Have certificate,Basic,5.6
Ho Chi Minh City,44.0,,,2.0,3.0,3.0,Have certificate,Basic,6.35
Ho Chi Minh City,70.0,5.0,3.0,3.0,5.0,,Have certificate,,8.0
Others,108.0,,,2.0,3.0,3.0,Have certificate,Full,2.8
Ho Chi Minh City,80.0,,8.0,2.0,3.0,2.0,Have certificate,Full,9.9
Ho Chi Minh City,106.0,5.0,5.0,3.0,4.0,4.0,Have certificate,Basic,6.7
Others,150.0,,,,,,Have certificate,,1.2
Ho Chi Minh City,71.59,4.9,38.0,2.0,2.0,3.0,Have certificate,Basic,4.45
Ho Chi Minh City,48.0,4.2,5.0,4.0,4.0,4.0,Have certificate,Full,6.99
Others,100.0,5.0,12.0,2.0,2.0,2.0,,,1.3
Ho Chi Minh City,35.0,5.0,5.0,1.0,3.0,2.0,,Full,1.9
Others,73.0,5.0,8.0,2.0,3.0,1.0,Have certificate,Full,3.25
Ho Chi Minh City,62.4,,,5.0,6.0,7.0,Have certificate,Full,7.6
Others,108.0,,,2.0,4.0,2.0,Have certificate,Full,3.2
Ho Chi Minh City,62.3,4.7,5.0,4.0,4.0,5.0,Have certificate,Full,8.0
Others,108.0,,,2.0,4.0,2.0,Have certificate,,3.2
Ho Chi Minh City,24.0,3.0,4.0,5.0,3.0,3.0,Have certificate,,4.99
Hanoi,32.0,3.0,3.0,5.0,3.0,4.0,Have certificate,Basic,3.2
Ho Chi Minh City,100.0,5.0,3.0,1.0,2.0,2.0,Have certificate,,10.0
Ho Chi Minh City,100.0,5.0,12.0,2.0,,,,,8.2
Ho Chi Minh City,20.4,3.0,3.5,4.0,2.0,3.0,Have certificate,,4.85
Hanoi,63.0,,,,4.0,,Have certificate,,5.0
Hanoi,28.0,5.0,,5.0,3.0,4.0,Have certificate,,4.8
Others,108.8,,,3.0,4.0,4.0,Sale contract,,4.2
Hanoi,53.0,11.0,,5.0,4.0,5.0,Have certificate,Full,8.9
Ho Chi Minh City,60.0,,,4.0,6.0,6.0,Have certificate,Full,7.8
Ho Chi Minh City,55.0,4.1,6.0,4.0,4.0,5.0,Have certificate,Full,9.8
Hanoi,55.0,4.0,,5.0,4.0,4.0,Have certificate,,7.5
Others,251.0,10.0,8.0,3.0,4.0,2.0,Have certificate,,9.9
Ho Chi Minh City,26.0,4.0,20.0,5.0,3.0,3.0,Have certificate,Full,9.0
Others,100.0,,,3.0,3.0,3.0,Have certificate,,5.9
Ho Chi Minh City,171.0,4.0,7.0,4.0,6.0,5.0,Have certificate,Basic,6.1
Ho Chi Minh City,68.0,4.0,6.0,3.0,4.0,4.0,Have certificate,Basic,6.5
Others,100.0,5.0,10.5,3.0,3.0,3.0,Have certificate,,7.5
Ho Chi Minh City,120.0,,,,,,Have certificate,Full,6.85
Others,100.0,5.0,7.5,3.0,3.0,3.0,Have certificate,Full,6.2
Ho Chi Minh City,48.0,3.5,6.0,1.0,2.0,2.0,Have certificate,Basic,3.65
Ho Chi Minh City,156.0,,,2.0,4.0,3.0,Have certificate,Full,9.8
Ho Chi Minh City,55.0,3.8,,3.0,3.0,3.0,Have certificate,,9.5
Hanoi,32.0,5.0,3.0,5.0,4.0,4.0,Have certificate,Full,5.2
Hanoi,35.0,4.0,3.0,5.0,3.0,3.0,Have certificate,Basic,5.2
Hanoi,46.0,,,5.0,,,,Full,8.1
Ho Chi Minh City,61.0,,,4.0,5.0,6.0,Have certificate,Full,8.7
Others,145.0,5.0,3.0,1.0,2.0,1.0,Have certificate,,1.35
Others,150.4,,,,,,Have certificate,,4.2
Hanoi,39.0,,,5.0,3.0,,Have certificate,,5.8
Ho Chi Minh City,55.0,,,2.0,3.0,2.0,,,5.7
Others,160.0,8.0,,2.0,4.0,2.0,Have certificate,,6.3
Others,150.0,6.0,5.0,2.0,3.0,3.0,Have certificate,,6.2
Others,60.0,5.8,4.0,3.0,3.0,4.0,Have certificate,Basic,2.2
Hanoi,57.0,,,,,,Have certificate,,5.15
Ho Chi Minh City,58.0,4.0,10.0,5.0,4.0,5.0,Have certificate,Full,7.49
Hanoi,43.0,4.3,3.0,5.0,3.0,4.0,Have certificate,Basic,4.1
Hanoi,22.0,3.6,4.0,4.0,,,Have certificate,Full,4.2
Ho Chi Minh City,106.0,5.0,5.0,3.0,3.0,3.0,Have certificate,Full,6.7
Ho Chi Minh City,100.0,5.0,12.0,2.0,3.0,2.0,Have certificate,Basic,6.9
